날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-07-20,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,6,G마켓,레노버 레노버 V15 13세대 i5 아이디어패드 15.6형 i5 16GB 256GB 윈도우11 홈 (5세대),Lenovo,I5,integrated,16GB,256GB,,15.6형,,968160,968160,,https://link.gmarket.co.kr/gate/pcs?item-no=3947230834&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,8,G마켓,에이수스 ASUS TUF A14 FA401UM-RG007 라이젠7-260/32GB/RTX5060 QHD 게이밍 노트북 겜트북,ASUS,라이젠7,RTX5060,32GB,,,,,2849000,2849000,,https://link.gmarket.co.kr/gate/pcs?item-no=4457738717&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,9,G마켓,2025 애플 맥북 에어 M4 칩 13인치 16GB 램 512GB SSD 저장장치 실버 비시,Apple,,integrated,16GB,512GB,,13인치,,1701250,1701250,,https://link.gmarket.co.kr/gate/pcs?item-no=4790628852&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,12,G마켓,레노버 노트북 레노버 ThinkPad X13 Gen1 메모리 32GB SSD512GB Windows11 전용박스,Lenovo,,integrated,32GB,512GB,WIN 11 HOME,,,626400,626400,,https://link.gmarket.co.kr/gate/pcs?item-no=4618661624&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,15,G마켓,레노버 레노버 씽크패드 X1 카본 i5 8GB 사무용 인강용 중고 노트북,Lenovo,I5,integrated,8GB,,,,,307720,307720,,https://link.gmarket.co.kr/gate/pcs?item-no=4355119391&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,20,G마켓,레노버 LENOVO 리퍼 노트북 ThinkPad X1 Carbon 인텔10세대 i5-10210U 16G NVMe256G UHD 윈도우11 14인치 터치스크린,Lenovo,I5-10210U,integrated,,,,14인치,,473100,473100,,https://link.gmarket.co.kr/gate/pcs?item-no=4404483890&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,22,G마켓,애플 애플 맥북 네오 (A18 Pro) 8GB 256GB 실버 MHFA4KH/A,Apple,,integrated,8GB,256GB,,,,1119680,1119680,,https://link.gmarket.co.kr/gate/pcs?item-no=4691520644&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,24,G마켓,레노버 레노버 Slim3 15ARP10 R5 256GB DOS 라이젠5 /8GB/256GB/DOS,Lenovo,라이젠5,integrated,256GB,,,,,851110,851110,,https://link.gmarket.co.kr/gate/pcs?item-no=4772976902&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,28,G마켓,DELL 인스피론15 7577 i7 16GB 256GB HDD1TB GTX1060 15인치,Dell,I7,GTX1060,16GB,256GB,,15인치,,308560,308560,,https://link.gmarket.co.kr/gate/pcs?item-no=4804565899&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,32,G마켓,기가바이트 기가바이트 Gaming A16 3WHD 라이젠 AMD R7 지포스 RTX5070 16GB 512GB QHD 게이밍 노트북,Gigabyte,,RTX5070,16GB,512GB,,,,2699140,2699140,,https://link.gmarket.co.kr/gate/pcs?item-no=4468443188&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,34,G마켓,레노버 레노버 Slim3 15ARP10 R5 256GB DOS 라이젠5 /8GB/256GB/DOS,Lenovo,라이젠5,integrated,256GB,,,,,840450,840450,,https://link.gmarket.co.kr/gate/pcs?item-no=4793816911&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-20,지마켓,37,G마켓,기가바이트 GIGABYTE AERO X16 1VH 93KRC94A(스페이스 그레이) 최종 165만,Gigabyte,,integrated,,,,,,2149000,2149000,,https://link.gmarket.co.kr/gate/pcs?item-no=4427754714&sub-id=1003&service-code=10000003&lcd=100000002
