날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-06-29,쿠팡,1,쿠팡,레노버 2022 아이디어패드 슬림 1 15AMN7 15.6 라이젠3 라이젠 7000 시리즈,Lenovo,라이젠3,integrated,,,,,,687000,687000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9066984399&ctag=9066984399&lptag=l673872780121&itemId=70171878362&vendorItemId=84281482577&spec=10305197
2026-06-29,쿠팡,2,쿠팡,에이서 2025 프레데터 헬리오스 네오 16 AI 코어Ultra9 지포스 RTX 5070 Ti,Acer,,RTX 5070,,,,,,2909000,2909000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8289883573&ctag=8289883573&lptag=l823861253092&itemId=52289836031&vendorItemId=92909249701&spec=10305197
2026-06-29,쿠팡,3,쿠팡,레노버 LOQ 15ARP10E 83S000E3KR 라이젠7 RTX 4050 16GB 512GB 게이밍 노트북 15.6인치 프리도스 루나그레이 IPS 놋북 랩탑 랩톱 4050 로크,Lenovo,라이젠7,RTX 4050,16GB,512GB,,15.6인치,,1159000,1159000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9386177442&ctag=9386177442&lptag=I27869853078&itemId=27869853078&vendorItemId=94829065603&spec=10305197
2026-06-29,쿠팡,4,쿠팡,에이수스 2025 ROG 플로우 Z13 GZ302EA-RU110W 라이젠 AI 300 64GB 1TB WIN11 2in1 게이밍 노트북 태블릿 13.4인치 터치 IPS,ASUS,,integrated,64GB,1TB,WIN 11 HOME,13.4인치,,3739000,3739000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8605696882&ctag=8605696882&lptag=I24949683881&itemId=24949683881&vendorItemId=91955579250&spec=10305197
2026-06-29,쿠팡,5,쿠팡,2024 맥북 Air 13인치 M3 A2681 MAC OS 256GB 16GB 스타라이트,Apple,,integrated,256GB,,,13인치,,1618000,1618000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9570666315&ctag=9570666315&lptag=I28565199043&itemId=28565199043&vendorItemId=95509683701&spec=10305199
2026-06-29,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-29,지마켓,2,G마켓,레노버 레노버 V15 13세대 i5 아이디어패드 15.6형 i5 16GB 256GB 윈도우11 홈 (5세대),Lenovo,I5,integrated,16GB,256GB,,15.6형,,942990,942990,,https://link.gmarket.co.kr/gate/pcs?item-no=3947230834&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-29,지마켓,3,G마켓,삼성전자 갤럭시북5 프로 NT960XHA-K51A 최종 혜택가 163만 (+U5 120Hz 3K터치 윈11),삼성전자,,integrated,,,,,,2349000,2349000,,https://link.gmarket.co.kr/gate/pcs?item-no=4261715147&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-29,지마켓,4,G마켓,LG전자 LG그램북 15UD50U-GX5KK U5 16GB 256GB,LG전자,,integrated,16GB,256GB,,,,1235470,1235470,,https://link.gmarket.co.kr/gate/pcs?item-no=4686136526&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-29,지마켓,5,G마켓,애플 애플 맥북 네오 (A18 Pro) 8GB 256GB 블러시 MHFH4KH/A,Apple,,integrated,8GB,256GB,,,,1190000,1190000,,https://link.gmarket.co.kr/gate/pcs?item-no=4691520962&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-29,네이버,1,삼성공식파트너 코인비엠에스,삼성 갤럭시북 인강용 사무용 윈도우11 저가 싼 노트북 기본팩,삼성전자,,integrated,,,,,,498000,498000,,https://smartstore.naver.com/main/products/10407884292
2026-06-29,네이버,2,네이버,"LG전자 LG그램 14ZD95U-GX56K RAM 16GB, 256GB",LG전자,,integrated,16GB,256GB,,,,1529000,1529000,,https://search.shopping.naver.com/catalog/58488180590
2026-06-29,네이버,3,네이버,"삼성전자 갤럭시북5 프로 노트북 NT960XHA-K71AR 32GB, 1TB",삼성전자,,integrated,32GB,1TB,,,,2999000,2999000,,https://search.shopping.naver.com/catalog/53018472231
2026-06-29,네이버,4,네이버,"삼성전자 갤럭시북4 노트북 NT750XGR-A51A 16GB, 256GB",삼성전자,,integrated,16GB,256GB,,,,1153990,1153990,,https://search.shopping.naver.com/catalog/52631236642
2026-06-29,네이버,5,베이직스 스토어,베이직스 베이직북16 노트북 사무용 16인치 업무용 인강용 영상편집 저가 8GB/256GB,Basics,,integrated,8GB,256GB,,16인치,,698000,698000,,https://smartstore.naver.com/main/products/11065832613
