날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-06-28,쿠팡,92,쿠팡,에이수스 2025 TUF 게이밍 노트북 A18 라이젠7 260 지포스 RTX 5060,ASUS,라이젠7,RTX 5060,,,,,,2035000,2035000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=7389799025&ctag=7389799025&lptag=l232375522354&itemId=52275532334&vendorItemId=92515547957&spec=10305197
2026-06-28,쿠팡,93,쿠팡,레노버 2026 아이디어패드 슬림 5 16AGP11 라이젠 AI 라이젠 AI 400 시리즈,Lenovo,,integrated,,,,,,1989000,1989000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=3994918677&ctag=3994918677&lptag=l262104300729&itemId=72209006431&vendorItemId=94878618193&spec=10305197
2026-06-28,쿠팡,94,쿠팡,에이수스 2026 젠북 14 코어Ultra5 인텔 14세대,ASUS,,integrated,,,,,,1449000,1449000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=3992027648&ctag=3992027648&lptag=l772385214429&itemId=78275249314&vendorItemId=94548356092&spec=10305197
2026-06-28,쿠팡,95,쿠팡,HP 2026 오멘 16 코어Ultra7 인텔 14세대 지포스 RTX 5070,HP,,RTX 5070,,,,,,3399000,3399000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=2799736497&ctag=2799736497&lptag=l275945264344&itemId=76244553494&vendorItemId=94430699340&spec=10305197
2026-06-28,쿠팡,96,쿠팡,neobook 2024 14 인텔 셀러론 N4020,,N4020,integrated,,,,,,319000,319000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=0286889303&ctag=0286889303&lptag=l926342569872&itemId=29247698365&vendorItemId=89834367355&spec=10305197
2026-06-28,쿠팡,97,쿠팡,HP 2026 하이퍼엑스 오멘 15 코어i5 인텔 14세대 지포스 RTX 5060,HP,,RTX 5060,,,,,,1989000,1989000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=3592238446&ctag=3592238446&lptag=l371296333127&itemId=73237363191&vendorItemId=94697490099&spec=10305197
2026-06-28,쿠팡,98,쿠팡,117번 LG 15U53 15인치 광시야각 인강용 사무용 업무용 노트북,LG전자,,integrated,,,,15인치,,210000,210000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8005598078&ctag=8005598078&lptag=I22314360727&itemId=22314360727&vendorItemId=89359766661&spec=10305199
2026-06-28,쿠팡,99,쿠팡,HP 2025 옴니북 X 플립 14 코어Ultra7,HP,,integrated,,,,,,1866000,1866000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8982288370&ctag=8982288370&lptag=l247032684537&itemId=58273430764&vendorItemId=92377682706&spec=10305197
2026-06-28,쿠팡,100,쿠팡,에이수스 2025 ROG 제피러스 G14 라이젠9 지포스 RTX 5080,ASUS,라이젠9,RTX 5080,,,,,,5199000,5199000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=6788866999&ctag=6788866999&lptag=l122549255212&itemId=52242129551&vendorItemId=92218795813&spec=10305197
2026-06-28,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
